a;а
queue;очередь
quick;быстрый
quickly;быстро
quiet;тихий
quietly;тихо
quit;уволиться
quite;вполне
quota;квота
quotation;цитата
quote;цитата
race;гонка
racial;расовый
racing;гонки
racism;расизм
racist;расист
radar;радар
radiation;радиация
radical;радикальный
radio;радио
rage;ярость
raid;рейд
rail;рельс
railway;железная дорога
rain;дождь
raise;поднять
rally;ралли
random;случайный
range;диапазон
rank;ранг
ranking;рейтинг
rape;изнасилование
rapid;стремительный
rapidly;быстро
rare;редкий
rarely;редко
rat;крыса
rate;темп
rather;скорее
rating;рейтинг
ratio;соотношение
rational;рациональный
raw;сырой
ray;луч
reach;достичь
react;реагировать
reaction;реакция
read;читать
reader;читатель
readily;охотно
reading;чтение
ready;готов
real;настоящий
realistic;реалистичный
reality;реальность
realization;реализация
realize;понимать
really;действительно
realm;царство
rear;тыл
reason;причина
reasonable;разумный
reasonably;разумно
reasoning;рассуждение
reassure;успокаивать
rebel;мятежник
rebellion;бунт
rebuild;перестроить
recall;отзыв
receipt;квитанция
receive;получить
receiver;приемник
recent;недавний
recently;относительно недавно
reception;прием
recession;рецессия
recipe;рецепт блюда
recipient;получатель
reckon;считать
recognition;признание
recognize;признать
recommend;рекомендовать
recommendation;рекомендация
reconstruction;реконструкция
record;запись
recording;запись
recount;пересчитывать
recover;восстанавливать
recovery;восстановление
recruit;принять на работу
recruitment;набор персонала
recycle;перерабатывать
red;красный
reduce;уменьшить
reduction;сокращение
refer;ссылаться
referee;рефери
reference;ссылка
referendum;референдум
reflect;отражать
reflection;отражение
reform;реформа
refuge;убежище
refugee;беженец
refusal;отказ
refuse;отказаться
regain;вернуть
regard;рассматривать
regardless;несмотря на
regime;режим
region;область, край
regional;региональный
register;регистр
registration;Регистрация
regret;сожаление
regular;регулярный
regularly;регулярно
regulate;регулировать
regulation;регулирование
regulator;регулятор
regulatory;регулирующий
rehabilitation;реабилитация
reign;царствовать
reinforce;укреплять
reject;отвергать
rejection;отказ
relate;относятся
related;связанные с
relation;связь
relationship;отношения
relative;родственник
relatively;относительно
relax;расслабиться
relaxed;расслабленный
relaxing;расслабляющий
release;релиз
relevance;актуальность
relevant;уместный
reliability;надежность
reliable;надежный
relief;облегчение
relieve;облегчить
relieved;облегчено
religion;религия
religious;религиозный
reluctant;неохотно
rely;полагаться
remain;оставаться
remainder;остаток
remains;остается
remark;замечание
remarkable;замечательный
remarkably;замечательно
remedy;лекарство
remember;помнить
remind;напомнить
reminder;напоминание
remote;удаленный
removal;удаление
remove;Удалить
render;оказывать
renew;возобновить
renowned;известный
rent;аренда
rental;аренда
repair;ремонт
repeat;повторение
repeated;повторяется
replace;заменить
replacement;замена
reply;Ответить
report;отчет
reportedly;по сообщениям
reporter;репортер
reporting;составление отчетов
represent;представлять
representation;представление
representative;представитель
reproduce;воспроизводить
reproduction;воспроизведение
republic;республика
reputation;репутация
request;запрос
require;требовать
requirement;требование
rescue;спасение
research;исследование
researcher;Исследователь
resemble;походить
reservation;резервирование
reserve;резерв
reside;проживать
residence;резиденция
resident;резидент
residential;Жилой
residue;остаток
resign;уходить в отставку
resignation;отставка
resist;сопротивляться
resistance;сопротивление
resolution;разрешающая способность
resolve;разрешить
resort;курорт
resource;ресурс
respect;уважение
respective;соответствующий
respectively;соответственно
respond;отвечать
response;ответ
responsibility;обязанность
responsible;ответственный
rest;отдых
restaurant;ресторан
restoration;восстановление
restore;восстановить
restraint;сдержанность
restrict;ограничивать
restriction;ограничение
result;результат
resume;продолжить
retail;розничная торговля
retain;сохранить
retire;уходить в отставку
retired;на пенсии
retirement;выход на пенсию
retreat;отступление
retrieve;получить
return;возвращение
reveal;показывать
revelation;откровение
revenge;жажда мести
revenue;доход
reverse;обеспечить регресс
review;обзор
revise;пересматривать
revision;пересмотр
revival;возрождение
revive;возродить
revolution;революция
revolutionary;революционер
reward;вознаграждение
rhetoric;риторика
rhythm;ритм
rice;рис
rich;богатые
rid;избавляться
ride;ездить
ridiculous;смешной
rifle;винтовка
right;право
ring;кольцо
riot;бунт
rip;Покойся с миром
rise;подъем
risk;риск
risky;рискованно
ritual;ритуал
rival;соперник
river;река
road;Дорога
rob;грабить
robbery;грабеж
robot;робот
robust;крепкий
rock;рок
rocket;ракета
rod;стержень
role;роль
roll;рулон
romance;романтика
romantic;романтичный
roof;крыша
room;номер
root;корень
rope;веревка
rose;Роза
rotate;вращать
rotation;вращение
rough;грубый
roughly;примерно
round;круглый
route;маршрут
routine;рутина
row;ряд
royal;королевский
rub;тереть
rubber;резинка
rubbish;мусор
rude;грубый
rugby;регби
ruin;разорение
rule;правило
ruling;постановление
rumour;слух
run;пробег
runner;бегун
running;Бег
rural;сельский
rush;порыв
sack;мешок
sacred;священный
sacrifice;приносить в жертву
sad;печальный
sadly;печально
safe;Безопасно
safety;безопасность
sail;паруса
sailing;плавание
sailor;матрос
saint;святой
sake;ради
salad;салат
salary;оплата труда
sale;продажа
salt;соль
same;те же самые
sample;образец
sanction;санкция
sand;песок
sandwich;бутерброд
satellite;спутниковое
satisfaction;удовлетворение
satisfied;доволен
satisfy;удовлетворить
Saturday;суббота
sauce;соус
save;спасти
saving;экономия
say;сказать
scale;шкала
scan;сканировать
scandal;скандал
scare;напугать
scared;напугана
scary;страшно
scattered;разбросанный
scenario;сценарий
scene;место действия
sceptical;скептический
schedule;график
scheme;схема
scholar;ученый
scholarship;стипендия
school;школа
science;наука
scientific;научный
scientist;ученый
scope;сфера
score;Гол
scratch;царапина
scream;кричать
screen;экран
screening;скрининг
screw;винт
script;сценарий
scrutiny;проверка
sculpture;скульптура
sea;море
seal;тюлень
search;поиск
season;время года
seat;сиденье
second;второй
secondary;вторичный
secondly;во-вторых
secret;секрет
secretary;секретарь
section;раздел
sector;сектор
secular;светский
secure;безопасный
security;безопасность
see;видеть
seed;семя
seek;стремиться
seeker;ищущий
seem linking;кажется связывающим
seemingly;по-видимому
segment;сегмент
seize;воспользоваться
seldom;редко
select;Выбрать
selection;отбор
selective;селективный
self;я
sell;продавать
seminar;семинар
senator;сенатор
send;Отправить
senior;старший
sensation;ощущение
sense;смысл
sensible;разумный
sensitive;чувствительный
sensitivity;чувствительность
sentence;предложение
sentiment;настроение
separate;отдельный
separation;разделение
September;сентябрь
sequence;последовательность
serial;серийный
series;серии
serious;серьезный
seriously;шутки в сторону
servant;слуга
serve;обслуживать
service;служба
session;сессия
set;установлен
set-up;настроить
setting;установка
settle;селиться
settlement;поселок
settler;поселенец
seven;Семь
seventeen;семнадцать
seventy;семьдесят
several;несколько
severe;тяжелая форма
severely;строго
sex;секс
sexual;сексуальный
sexuality;сексуальность
sexy;сексуальный
shade;тень
shadow;тень
shake;встряхнуть
shall modal;будет модальным
shallow;мелкий
shame;стыд
shape;форма
shaped;сформированный
share;доля
shareholder;акционер
sharp;острый
shatter;разбить
she;она
shed;сарай
sheep;овец
sheer;чистый
sheet;лист
shelf;полка
shell;ракушка
shelter;убежище
shift;сдвиг
shine;сияние
shiny;блестящий
ship;корабль
shipping;Перевозка
shirt;Рубашка
shock;шок
shocked;в шоке
shocking;шокирующий
shoe;обувь
shoot;стрелять
shooting;стрельба
shop;магазин
shopping;поход по магазинам
shore;берег
short;короткая
short-term;временный
shortage;нехватка
shortly;скоро
shot;выстрел
should modal;должен модальный
shoulder;плечо
shout;кричать
show;Показать
shower;душ
shrink;сокращаться
shrug;пожимать плечами
shut;закрыть
shy;застенчивый
sibling;брат
sick;больной
side;сторона
sigh;вздох
sight;зрение
sign;подписать
signal;сигнал
signature;подпись
significance;значимость
significant;существенный
significantly;значительно
silence;тишина
silent;тихий
silk;шелк
silly;глупый
silver;Серебряный
similar;аналогичный
similarity;сходство
similarly;по аналогии
simple;просто
simply;просто
simulate;моделировать
simulation;симуляция
simultaneously;одновременно
sin;грех
since;поскольку
sincere;искренний
sing;петь
singer;певец
singing;пение
single;Один
sink;тонуть
sir;сэр
sister;сестра
sit;сидеть
site;сайт
situated;расположенный
situation;ситуация
six;шесть
sixteen;шестнадцать
sixty;шестьдесят
size;размер
sketch;эскиз
ski;кататься на лыжах
skiing;горнолыжный спорт
skill;умение
skilled;опытный
skin;кожа
skip;пропускать
skirt;юбка
skull;череп
sky;небо
slam;хлопнуть
slap;шлепок
slash;слэш
slave;раб
slavery;рабство
sleep;спать
slice;кусочек
slide;горка
slight;слабый
slightly;слегка
slip;поскользнуться
slogan;лозунг
slope;наклон
slot;слот
slow;медленный
slowly;медленно
small;небольшой
smart;умная
smartphone;смартфон
smash;разбить
smell;запах
smile;улыбка
smoke;курить
smoking;курение
smooth;гладкий;плавный
snake;змея
snap;щелчок
snow;снег
so;так
so-called;так называемые
soak;замочить
soap;мыло
soar;парить
soccer;футбольный
social;Социальное
socialist;социалист
society;общество
sock;носок
soft;мягкий
software;программного обеспечения
soil;почвы
solar;солнечный
soldier;солдат
sole;единственный
solely;исключительно
solicitor;солиситор
solid;твердый
solidarity;солидарность
solo;соло
solution;решение
solve;решить
some;некоторые
somebody;кто-то
somehow;как-то
someone;кто то
something;что нибудь
sometime;когда-то
sometimes;иногда
somewhat;в некотором роде
somewhere;где-то
son;сын
song;песня
soon;скоро
sophisticated;сложный
sorry;Извините
sort;Сортировать
soul;душа
sound;звук
soup;суп
source;источник
south;юг
southern;южный
sovereignty;суверенитет
space;пространство
spam;спам
span;размах
spare;запасной
spark;искра
speak;говорить
speaker;оратор
special;специальный
specialist;специалист
specialize;специализироваться
specialized;специализированный
species;виды
specific;конкретный
specifically;конкретно
specification;Спецификация
specify;уточнить
specimen;образец
spectacle;зрелище
spectacular;захватывающий
spectator;зритель
spectrum;спектр
speculate;размышлять
speculation;спекуляция
speech;речь
speed;скорость
spell;орфографии
spelling;орфография
spend;проводить
spending;траты
sphere;сфера
spice;пряность
spicy;острый
spider;паук
spill;проливать
spin;вращение
spine;позвоночник
spirit;дух
spiritual;духовный
spite;назло
split;Трещина
spoil;испортить
spoken;разговорный
spokesman;представитель
spokesperson;представитель
spokeswoman;представительница
sponsor;спонсор
sponsorship;спонсорство
spoon;ложка
sport;спорт
sporting;спортивный
spot;определять
spotlight;прожектор
spouse;супруга
spread;распространение
spring;весна
spy;шпион
squad;отряд
square;площадь
squeeze;сжимать
stab;колоть
stability;стабильность
stabilize;стабилизировать
stable;стабильный
stadium;стадион
staff;штат сотрудников
stage;сцена
stair;лестница
stake;ставка
stall;стойло
stamp;печать
stance;позиция
stand;стоять
standard;стандарт
standing;стоя
star;звезда
stare;глазеть
stark;суровый
start;Начало
starve;голодать
state;государство
statement;заявление
station;станция
statistic;статистика
statistical;статистический
statue;статуя
status;статус
stay;остаться
steadily;стабильно
steady;устойчивый
steal;украсть
steam;пар
steel;стали
steep;крутой
steer;управлять
stem;стебель
step;шаг
stereotype;стереотип
stick;придерживаться
sticky;липкий
stiff;жесткий
still;все еще
stimulate;стимулировать
stimulus;стимул
stir;размешать
stock;склад
stomach;желудок
stone;камень
stop;стоп
storage;место хранения
store;магазин
storm;буря
story;сказка
straight;Прямо
straightforward;простой
strain;штамм
strand;прядь
strange;странный
stranger;незнакомец
strategic;стратегический
strategy;стратегия
stream;поток
street;улица
strength;прочность
strengthen;укреплять
stress;стресс
stretch;протяжение
strict;строгий
strictly;строго
strike;забастовка
striking;поразительный
string;строка
strip;полоса
strive;стремиться
stroke;инсульт
strong;сильный
strongly;сильно
structural;структурный
structure;структура
struggle;борьба
student;студент
studio;студия
study;учиться
stuff;вещи
stumble;спотыкаться
stun;оглушить
stunning;оглушающий
stupid;тупой
style;стиль
subject;предмет
submission;подчинение
submit;Отправить
subscriber;подписчик
subscription;подписка
subsequent;последующий
subsequently;впоследствии
subsidy;субсидия
substance;вещество
substantial;существенный
substantially;существенно
substitute;замена
substitution;замена
subtle;тонкий
suburb;пригород
suburban;пригород
succeed;преуспеть
success;успех
successful;успешный
successfully;успешно
succession;преемственность
successive;последовательный
successor;преемник
such;такой
suck;сосать
sudden;внезапно
suddenly;вдруг, внезапно
sue;Сью
suffer;страдать
suffering;страдание
sufficient;достаточно
sufficiently;достаточно
sugar;сахар
suggest;предлагать
suggestion;предложение
suicide;самоубийство
suit;костюм
suitable;подходящее
suite;сюита
sum;сумма
summarize;подводить итоги
summary;резюме
summer;лето
summit;саммит
sun;солнце
Sunday;Воскресенье
super;супер
superb;превосходно
superior;высший
supermarket;супермаркет
supervise;контролировать
supervision;наблюдение
supervisor;руководитель
supplement;дополнение
supply;поставка
support;поддержка
supporter;сторонник
supportive;поддерживающий
suppose;предположить
supposedly;якобы
suppress;подавлять
supreme;высший
sure;конечно
surely;конечно
surface;поверхность
surge;всплеск
surgeon;хирург
surgery;операция
surgical;хирургический
surplus;избыток
surprise;сюрприз
surprised;удивлен
surprising;удивительно
surrender;сдаться
surround;окружать
surrounding;окружающий
surveillance;наблюдение
survey;опрос
survival;выживание
survive;выжить
survivor;оставшийся в живых
suspect;подозреваемый
suspend;приостановить
suspension;подвеска
suspicion;подозрение
suspicious;подозрительно
sustain;выдерживать
sustainable;устойчивый
swallow;проглотить
swear;поклясться
sweater;свитер
sweep;развертка
sweet;милая
swim;плавать
swimming;плавание
swing;качели
switch;переключатель
sword;меч
symbol;символ
symbolic;символический
sympathetic;сочувствующий
sympathy;сочувствие
symptom;симптом
syndrome;синдром
synthesis;синтез
system;система
systematic;систематический
T-shirt;Футболка
table;Таблица
tablet;планшет
tackle;снасти
tactic;тактика
tactical;тактический
tag;тег
tail;хвост
take;взять
tale;сказка
talent;талант
talented;талантливый
talk;разговаривать
tall;высокий
tank;бак
tap;нажмите
tape;лента
target;цель
task;задача
taste;вкус
tax;налог
taxi;такси
taxpayer;налогоплательщик
tea;чай
teach;учить
teacher;учитель
teaching;обучение
team;команда
tear;слеза
technical;технический
technique;техника
technological;технологический
technology;технологии
teenage;подростковый
teenager;подросток
teens;тинейджеры
telephone;телефон
television;телевидение
tell;сказать
temperature;температура
temple;храм
temporarily;временно
temporary;временный
tempt;соблазнять
ten;10
tenant;арендатор
tend;склоняться
tendency;тенденция
tender;тендер
tennis;большой теннис
tension;напряжение
tent;палатка
tenure;владение
term;срок
terminal;Терминал
terminate;прекратить
terms;сроки
terrain;местность
terrible;ужасный
terribly;ужасно
terrific;потрясающий
terrify;ужасать
territory;территория
terror;ужас
terrorism;терроризм
terrorist;террорист
test;контрольная работа
testify;свидетельствовать
testimony;свидетельство
testing;тестирование
text;текст
textbook;учебник
texture;текстура
than;чем
thank;благодарить
thankfully;к счастью
thanks;Спасибо
that;который
the definite article;Определенный артикль
theatre;театр
theatrical;театральный
theft;воровство
their;их
theirs;их
them;их
theme;тема
themselves;самих себя
then;тогда
theology;богословие
theoretical;теоретический
theory;теория
therapist;Терапевт
therapy;терапия
there;там
thereafter;после этого
thereby;тем самым
therefore;следовательно
thesis;Тезис
they;Oни
thick;толстый
thief;вор
thin;тонкий
thing;вещь
think;считать
thinking;мышление
third;в третьих
thirsty;жаждущий
thirteen;тринадцать
thirty;30
this;этот
thorough;тщательный
thoroughly;тщательно
though;хотя
thought;подумал
thought-provoking;наводящий на размышления
thoughtful;заботливая
thousand;тысяча
thread;нить
threat;угроза
threaten;угрожать
three;три
threshold;порог
thrilled;взволнован
thrive;процветать
throat;горло
through;через
throughout;на протяжении
throw;бросить
thumb;большой палец
Thursday;Четверг
thus;таким образом
ticket;билет
tide;прилив
tidy;аккуратный
tie;галстук
tight;в обтяжку
tighten;затягивать
till;до
timber;древесина
time;время
timely;своевременный
timing;время
tin;банка
tiny;крошечный
tip;совет
tired;усталый
tissue;ткань
title;заглавие
to infinitive marker;к маркеру инфинитива
to;к
tobacco;табак
today;сегодня
toe;палец на ноге
together;вместе
toilet;туалет
tolerance;толерантность
tolerate;терпеть
toll;Потери
tomato;помидор
tomorrow;завтра
ton;тонна
tone;тон
tongue;язык
tonight;сегодня ночью
tonne;тонна
too;тоже
tool;орудие труда
tooth;зуб
top;Топ
topic;тема
torture;пытка
toss;жеребьевка
total;Всего
totally;полностью
touch;прикоснуться
tough;жесткий
tour;тур
tourism;туризм
tourist;турист
tournament;турнир
towards;к
towel;полотенце
tower;башня
town;город
toxic;токсичный
toy;игрушка
trace;след
track;трек
trade;сделка
trademark;торговая марка
trading;торговля
tradition;традиция
traditional;традиционный
traffic;движение
tragedy;трагедия
tragic;трагедия
trail;след
trailer;трейлер
train;поезд
trainer;тренер
training;подготовка
trait;черта
transaction;сделка
transcript;стенограмма
transfer;перевод
transform;преобразовать
transformation;трансформация
transit;транзит
transition;переход
translate;перевести
translation;перевод
transmission;передача инфекции
transmit;передавать
transparency;прозрачность
transparent;прозрачный
transport;транспорт
transportation;транспорт
trap;ловушка
trauma;травма
travel;путешествовать
traveller;путешественник
treasure;сокровище
treat;лечить
treatment;лечение
treaty;договор
tree;дерево
tremendous;потрясающий
trend;тенденция
trial;испытание
tribal;племенной
tribe;племя
tribunal;трибунал
tribute;дань уважения
trick;уловка
trigger;вызывать
trillion;триллион
trio;трио
trip;поездка
triumph;торжество
troop;отряд
trophy;трофей
tropical;тропический
trouble;беда
troubled;обеспокоенный
trousers;брюки
truck;грузовая машина
true;правда
truly;действительно
trust;доверять
trustee;попечитель
truth;правда
try;пытаться
tsunami;цунами
tube;трубка
Tuesday;вторник
tuition;обучение
tune;настраивать
tunnel;туннель
turn;очередь
turnout;оказаться
turnover;оборот
TV;ТВ
twelve;двенадцать
twenty;двадцать
twice;дважды
twin;близнец
twist;крутить
two;два
type;тип
typical;типичный
typically;обычно
tyre;утомлять
ugly;уродливый
ultimate;окончательный
ultimately;в конечном итоге
umbrella;зонтик
unable;не в состоянии
unacceptable;неприемлемый
uncertainty;неуверенность
uncle;дядя
uncomfortable;неудобный
unconscious;бессознательный
under;под
undergo;пройти
undergraduate;студент
underground;метро
underlying;лежащий в основе
undermine;подорвать
understand;Понимаю
understanding;понимание
undertake;предпринять
underwear;нижнее белье
undoubtedly;несомненно
unemployed;безработные
unemployment;безработица
unexpected;неожиданный
unfair;несправедливо
unfold;развернуться
unfortunate;несчастный
unfortunately;К сожалению
unhappy;несчастный
uniform;униформа
unify;объединить
union;союз
unique;уникальный
unit;единица измерения
unite;объединяться
united;объединились
unity;единство
universal;универсальный
universe;вселенная
university;Университет
unknown;неизвестно
unless;если только
unlike;В отличие от
unlikely;вряд ли
unnecessary;ненужный
unpleasant;неприятный
unprecedented;беспрецедентный
until;до
unusual;необычный
unveil;раскрыть
up;вверх
upcoming;предстоящий
update;Обновить
upgrade;Обновить
uphold;поддерживать
upon;на
upper;верхний
upset;расстроена
upstairs;вверх по лестнице
upwards;снизу вверх
urban;городской
urge;побуждать
urgent;срочный
us;нас
usage;Применение
use;использовать
used;используемый
used to modal;используется для модального
useful;полезный
useless;бесполезный
user;пользователь
usual;обычный
usually;как правило
utility;полезность
utilize;использовать
utterly;совершенно
vacation;отпуск
vacuum;вакуум
vague;расплывчатый
valid;действительный
validity;срок действия
valley;долина
valuable;ценный
value;ценность
van;фургон
vanish;исчезнуть
variable;переменная
variation;вариация
varied;разнообразный
variety;разнообразие
various;различный
vary;варьироваться
vast;обширный
vegetable;овощ
vehicle;транспортное средство
vein;вена
venture;предприятие
venue;место проведения
verbal;словесный
verdict;приговор
verify;проверить
verse;стих
version;версия
versus;против
vertical;вертикальный
very;очень
vessel;сосуд
veteran;ветеран
via;через
viable;жизнеспособный
vibrant;яркий
vice;вице
vicious;порочный
victim;потерпевший
victory;победа
video;видео
view;Посмотреть
viewer;зритель
viewpoint;точка зрения
village;деревня
villager;крестьянин
violate;нарушать
violation;нарушение
violence;насилие
violent;жестокий
virtual;виртуальный
virtue;добродетель
virus;вирус
visa;виза
visible;видимый
vision;видение
visit;визит
visitor;посетитель
visual;визуальный
vital;жизненно необходимый
vitamin;витамин
vocal;вокал
voice;голос
volume;объем
voluntary;добровольный
volunteer;волонтер
vote;голос
voting;голосование
vow;клятва
vulnerability;уязвимость
vulnerable;уязвимый
wage;заработная плата
wait;Подождите
waiter;Официант
wake;просыпаться
walk;ходить
wall;стена
wander;блуждать
want;хочу
war;война
ward;палата
warehouse;склад
warfare;военное дело
warm;теплый
warming;потепление
warn;предупреждать
warning;предупреждение
warrant;ордер
warrior;воин
wash;мыть
washing;стирка
waste;отходы
watch;смотреть
water;вода
wave;волна
way;путь
we;мы
weak;слабый
weaken;ослабить
weakness;слабое место
wealth;богатство
wealthy;богатый
weapon;оружие
wear;носить
weather;Погода
weave;ткать
web;сеть
website;интернет сайт
wedding;свадьба
Wednesday;Среда
weed;сорняк
week;неделю
weekend;выходные дни
weekly;еженедельно
weigh;весить
weight;вес
weird;странно
welcome;добро пожаловать
welfare;благосостояние
well;хорошо
well-being;благополучие
west;запад
western;западный
wet;влажный
what;что
whatever;без разницы
whatsoever;что бы то ни было
wheat;пшеница
wheel;колесо
when;когда
whenever;всякий раз, когда
where;где
whereas;в то время как
whereby;согласно которому
wherever;где бы
whether;будь то
which;который
while;пока
whilst;пока
whip;хлыст
whisper;шептать
white;белый
who;ВОЗ
whoever;кто бы
whole;все
wholly;полностью
whom;кому
whose;чья
why;Почему
wide;широкий
widely;широко
widen;расширяться
widespread;широко распространен
widow;вдова
width;ширина
wife;жена
wild;дикий
wildlife;дикая природа
will;будем
will modal;будет модальным
willing;желающий
willingness;готовность
win;выиграть
wind;ветер
window;окно
wine;вино
wing;крыло
winner;победитель
winter;зима
wipe;протереть
wire;провод
wisdom;мудрость
wise;мудрый
wish;желаю
wit;остроумие
with;с
withdraw;изымать
withdrawal;вывод
within;в
without;без
witness;свидетель
woman;женщина
wonder;задаваться вопросом
wonderful;замечательно
wood;дерево
wooden;деревянный
wool;шерсть
word;слово
work;Работа
worker;рабочий
workforce;рабочая сила
working;за работой
workout;разрабатывать
workplace;рабочее место
workshop;мастерская
world;Мир
worldwide;по всему миру
worm;червь
worried;волновался
worry;беспокоиться
worse;хуже
worship;поклонение
worst;наихудший
worth;стоимость
worthwhile;стоящий
worthy;достойный
would modal;будет модальным
wound;рана
wow;Вау
wrap;заворачивать
wrist;запястье
write;записывать
writer;писатель
writing;письмо
written;написано
wrong;неправильно
yard;двор
yeah;да уж
year;год
yell;кричать
yellow;желтый
yes;да
yesterday;вчерашний день
yet;все же
yield;Уступать
you;ты
young;молодой
youngster;юноша
your;твой
yours;твой
yourself;сами
youth;молодежь
zero;нуль
zone;зона
